DisNo.,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI
2004-0231-DOM,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0231-HTI,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0231-PRI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0233-SEN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0234-IRN,No,No,No,Unknown,Unknown,Unknown,59000,95177,165000,266174,61.98958593432169
2004-0235-MMR,No,Yes,No,264,Unknown,Unknown,Unknown,Unknown,688,1110,61.98958593432169
2004-0236-BRA,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,370,597,61.98958593432169
2004-0244-THA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0245-USA,No,No,No,Unknown,Unknown,Unknown,800000,1290539,1100000,1774492,61.98958593432169
2004-0247-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0248-USA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0249-USA,No,No,Yes,Unknown,Unknown,Unknown,450000,725928,700000,1129222,61.98958593432169
2004-0250-RUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0251-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0252-MKD,No,No,No,30,Unknown,Unknown,Unknown,Unknown,3600,5807,61.98958593432169
2004-0257-ROU,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0258-THA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0258-VNM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,7000,11292,61.98958593432169
2004-0259-MEX,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,3600,5807,61.98958593432169
2004-0266-RUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0267-PHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0268-NGA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0269-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0274-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0276-JPN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0276-KOR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0280-NIC,Yes,Yes,Yes,470,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0284-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,361000,582356,61.98958593432169
2004-0286-BGD,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0287-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0289-NIC,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0292-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,280,452,61.98958593432169
2004-0293-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0294-FJI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0298-BGD,Yes,Yes,No,105181,Unknown,Unknown,Unknown,Unknown,2200000,3548983,61.98958593432169
2004-0298-BTN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0298-IND,No,No,No,3470,Unknown,Unknown,Unknown,Unknown,2500000,4032935,61.98958593432169
2004-0298-NPL,Yes,No,No,797,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0298-PAK,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0299-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0300-GMB,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0301-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,12700,20487,61.98958593432169
2004-0302-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0303-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0306-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0307-ARG,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0307-CHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0308-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0309-PHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,19667,31726,61.98958593432169
2004-0309-TWN,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,400000,645270,61.98958593432169
2004-0310-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0311-PHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0312-GUM,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0312-MNP,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0315-NGA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0317-BRA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0321-IND,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0325-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,53500,86305,61.98958593432169
2004-0328-VNM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0331-ARG,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0331-BRA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0331-CHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0331-PER,No,No,Yes,405,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0331-PRY,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0331-URY,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0333-ALB,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0333-MKD,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0333-ROU,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0336-ROU,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0338-USA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,170,274,61.98958593432169
2004-0339-JPN,No,No,No,Unknown,Unknown,Unknown,279000,450076,1950000,3145690,61.98958593432169
2004-0342-TJK,Yes,Yes,No,842,Unknown,Unknown,Unknown,Unknown,12000,19358,61.98958593432169
2004-0346-CAN,No,No,Yes,Unknown,Unknown,Unknown,110000,177449,200000,322635,61.98958593432169
2004-0348-USA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0349-AFG,No,No,No,18,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0352-JPN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0354-VNM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,8000,12905,61.98958593432169
2004-0356-ROU,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0361-ESP,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0361-SPI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0365-ROU,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0369-HUN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0369-POL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0369-SVK,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0372-CHN,No,No,No,Unknown,Unknown,Unknown,3000,4840,1100000,1774492,61.98958593432169
2004-0373-ESP,No,No,No,Unknown,Unknown,Unknown,2000,3226,3000,4840,61.98958593432169
2004-0381-KOR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,5548,8950,61.98958593432169
2004-0381-PRK,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,20000,32263,61.98958593432169
2004-0383-PRT,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0387-KGZ,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0388-RUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,6000,9679,61.98958593432169
2004-0394-ERI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0398-ZAF,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0400-AUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0401-GEO,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,2156,3478,61.98958593432169
2004-0402-NGA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0403-MYS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0404-NZL,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,45000,72593,61.98958593432169
2004-0406-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,50000,80659,61.98958593432169
2004-0412-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,2190000,3532851,61.98958593432169
2004-0413-NGA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0415-CUB,No,No,No,120,Unknown,Unknown,Unknown,Unknown,1000000,1613174,61.98958593432169
2004-0415-CYM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,5000,8066,61.98958593432169
2004-0415-JAM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,300000,483952,61.98958593432169
2004-0415-USA,No,No,Yes,Unknown,Unknown,Unknown,7600000,12260124,16000000,25810787,61.98958593432169
2004-0423-GBR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,96000,154865,61.98958593432169
2004-0424-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0426-COL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0427-FRA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0428-JPN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,500000,806587,61.98958593432169
2004-0428-KOR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,1000,1613,61.98958593432169
2004-0434-NGA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0435-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,5000,8066,61.98958593432169
2004-0435-JPN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,500,807,61.98958593432169
2004-0435-PHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0435-TWN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,5000,8066,61.98958593432169
2004-0436-AFG,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0441-THA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0444-ROU,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0445-GUM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,1000,1613,61.98958593432169
2004-0445-JPN,No,No,No,Unknown,Unknown,Unknown,1200000,1935809,2000000,3226348,61.98958593432169
2004-0446-USA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0447-SLE,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0448-USA,No,No,Yes,Unknown,Unknown,Unknown,62500,100823,62500,100823,61.98958593432169
2004-0454-RUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,4962,8005,61.98958593432169
2004-0455-BHS,Yes,No,No,Unknown,Unknown,Unknown,230000,371030,1000000,1613174,61.98958593432169
2004-0455-DOM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0455-PRI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0455-TCA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0455-USA,No,No,Yes,Unknown,Unknown,Unknown,5000000,8065871,11000000,17744916,61.98958593432169
2004-0457-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,471000,759805,61.98958593432169
2004-0459-JPN,No,No,No,Unknown,Unknown,Unknown,4700000,7581919,9000000,14518568,61.98958593432169
2004-0459-KOR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,250000,403294,61.98958593432169
2004-0459-RUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0462-BHS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0462-BRB,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,5000,8066,61.98958593432169
2004-0462-CUB,No,No,No,1703,Unknown,Unknown,Unknown,Unknown,200000,322635,61.98958593432169
2004-0462-CYM,No,No,No,Unknown,Unknown,Unknown,1500000,2419761,3430080,5533317,61.98958593432169
2004-0462-DOM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,1000,1613,61.98958593432169
2004-0462-GRD,Yes,No,Yes,18254,Unknown,Unknown,Unknown,Unknown,889000,1434112,61.98958593432169
2004-0462-HTI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,1000,1613,61.98958593432169
2004-0462-JAM,Yes,No,No,3345,Unknown,Unknown,200000,322635,595000,959839,61.98958593432169
2004-0462-LCA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,500,807,61.98958593432169
2004-0462-TTO,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,1000,1613,61.98958593432169
2004-0462-USA,No,No,Yes,Unknown,Unknown,Unknown,12000000,19358090,18000000,29037135,61.98958593432169
